food_id,food_name,food_name_display,aliases,category,subcategory,region,state,vegetarian_status,serving_size_g,calories_per_100g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,preparation_variant,is_verified,data_source,created_at,updated_at
food_3dfb75fc,aperol spritz,Aperol Spritz,[],Beverage,,,,Veg,250.0,72.0,180.0,0.0,20.0,0.0,0.0,20.0,10.0,normal,True,Master Food Database,,
food_75eb2b6f,appam,Appam,[],Bread,,,Kerala,Veg,80.0,245.48333333333335,258.85,5.0600000000000005,27.64,14.815,4.595000000000001,0.0,0.0,normal,True,Master Food Database,,
food_c7adc428,appam with egg curry,Appam With Egg Curry,[],Breakfast,,,Kerala,Non-Veg,180.0,122.2,220.0,15.0,32.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_0c66abe2,apple,Apple,[],Fruit,,,,Veg,150.0,63.33333333333333,95.0,0.5,25.0,0.3,4.4,19.0,2.0,normal,True,Master Food Database,,
food_ac01d2ab,apple and honey sorbet,Apple and honey sorbet,['Seb aur shehad ka sharbat'],,,,,Veg,150.0,80.86666666666666,121.3,0.15,30.74,0.29,1.13,29.18,1.97,normal,True,Master Food Database,,
food_efe92d6c,apple banana pie,Apple banana pie,[],,,,,Veg,150.0,162.66,243.99,3.13,32.12,11.39,1.89,12.96,384.43,normal,True,Master Food Database,,
food_78387c82,apple cake,Apple cake,['Seb ka cake'],,,,,Veg,150.0,193.38666666666666,290.08,4.94,39.48,12.87,1.22,23.52,136.95,normal,True,Master Food Database,,
food_45e16a5d,apple cider,Apple Cider,[],Beverage,,,,Veg,250.0,46.800000000000004,117.0,0.1,29.0,0.3,0.5,27.0,10.0,normal,True,Master Food Database,,
food_a9878e3c,apple cinnamon pie,Apple cinnamon pie,[],,,,,Veg,150.0,172.48666666666668,258.73,3.35,33.68,12.21,1.77,11.95,60.14,normal,True,Master Food Database,,
food_34326f91,apple crumb pudding,Apple crumb pudding,[],,,,,Veg,150.0,147.23333333333332,220.85,1.54,35.17,8.87,1.33,27.69,59.36,normal,True,Master Food Database,,
food_783ce2b5,apple jam,Apple jam,['Seb ka murabba'],,,,,Veg,150.0,125.86,188.79,0.14,48.56,0.32,1.29,46.76,2.71,normal,True,Master Food Database,,
food_11826d00,apple jelly,Apple jelly,['Seb ki jelly'],,,,,Veg,150.0,101.42,152.13,0.1,39.37,0.21,0.86,38.18,2.14,normal,True,Master Food Database,,
food_488b46a2,apple kheer,Apple kheer,['Seb ki kheer'],,,,,Veg,150.0,54.199999999999996,81.3,2.14,11.34,3.18,0.51,10.71,15.86,normal,True,Master Food Database,,
food_371a8874,apple mousse,Apple mousse,[],,,,,Veg,150.0,71.28,106.92,4.21,12.77,4.27,1.6,10.56,28.79,normal,True,Master Food Database,,
food_ae0bda22,apple oats chia seed smoothie,Apple oats chia seed smoothie,[],,,,,Veg,150.0,57.09333333333333,85.64,3.49,13.07,2.48,1.44,5.76,32.02,normal,True,Master Food Database,,
food_c75e3a95,apple pie,Apple Pie,[],Dessert,,,,Veg,75.0,546.6666666666666,410.0,3.0,58.0,19.0,3.0,25.0,320.0,normal,True,Master Food Database,,
food_99f6dcd4,apple sago payasam,Apple sago payasam,['Seb aur sabudana ki kheer'],,,,,Veg,150.0,91.0,136.5,3.13,14.4,7.66,0.38,10.63,39.45,normal,True,Master Food Database,,
food_be6c39ab,apple snowballs,Apple snowballs,[],,,,,Veg,150.0,67.67333333333335,101.51,0.86,24.58,0.31,1.25,19.4,12.8,normal,True,Master Food Database,,
food_6c9f7b31,apricot fool,Apricot fool,[],,,,,Veg,150.0,160.52666666666667,240.79,1.54,33.64,11.35,1.0,21.29,8.28,normal,True,Master Food Database,,
food_ee28fe9c,arancini,Arancini,[],Snack/Processed,,,,Veg,100.0,250.0,250.0,9.0,30.0,10.0,3.0,3.0,500.0,normal,True,Master Food Database,,
food_4addcd11,arhar with spinach,Arhar with spinach,['Arhar dal aur palak'],,,,,Veg,150.0,35.22666666666667,52.84,2.05,4.77,2.76,1.3,0.23,109.97,normal,True,Master Food Database,,
food_6faba4cd,ariselu,Ariselu,[],Sweet,,,Andhra Pradesh,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_388dcd36,arsa roti,Arsa Roti,[],Sweet,,,Jharkhand,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_a0b0f266,artichoke,Artichoke,[],Vegetable,,,,Veg,150.0,40.0,60.0,4.2,13.4,0.2,6.9,1.2,112.0,normal,True,Master Food Database,,
food_6fc4ab30,arugula,Arugula,[],Vegetable,,,,Veg,150.0,6.666666666666667,10.0,1.0,0.8,0.2,0.4,0.4,6.0,normal,True,Master Food Database,,
food_2f4a068d,asparagus,Asparagus,[],Vegetable,,,,Veg,150.0,26.666666666666668,40.0,4.2,6.266666666666667,0.9333333333333332,3.4,3.5,4.0,normal,True,Master Food Database,,
food_3fb8d6f1,assorted pastry,Assorted pastry,[],,,,,Veg,150.0,153.82666666666665,230.74,6.78,31.99,8.91,0.43,19.7,49.99,normal,True,Master Food Database,,
food_28afaec3,atta dal burfi,Atta dal burfi ,[],,,,,Veg,200.0,149.4,298.8,6.66,40.64,12.47,4.08,21.08,3.56,normal,True,Master Food Database,,
food_531cfbee,attu,Attu,[],Breakfast,,South India,,Veg,180.0,122.2,220.0,7.0,32.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_5becd6a3,avial,Avial,[],Main Dish,,,Kerala,Veg,200.0,119.51,228.64,7.115,21.6175,11.235,5.61,0.0,0.0,normal,True,Master Food Database,,
food_4fa6d529,avocado,Avocado,[],Fruit,,,,Veg,150.0,106.66666666666667,160.0,2.0,8.5,14.7,6.7,0.7,7.0,normal,True,Master Food Database,,
food_fb6b5b29,avocado toast,Avocado Toast,[],Meal/Vegetarian,,,,Veg,150.0,173.33333333333334,260.0,7.0,28.0,15.0,10.0,1.0,350.0,normal,True,Master Food Database,,
food_3ab478c2,awadhi biryani,Awadhi Biryani,[],Rice Dish,,,Uttar Pradesh,Non-Veg,250.0,120.0,300.0,16.0,48.0,8.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_91068dfd,awandru,Awandru,[],Main Dish,,,Tripura,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_3c488dce,axone pork,Axone Pork,[],Meat,,,Nagaland,Non-Veg,180.0,194.4,350.0,32.0,3.0,25.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_4420ac72,baati,Baati,[],Bread,,North India,,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_3ef00b3b,baba ganoush,Baba Ganoush,[],Meal/Vegetable,,,,Veg,150.0,66.66666666666666,100.0,2.0,8.0,7.0,4.0,2.0,300.0,normal,True,Master Food Database,,
food_c4ad47d6,babru,Babru,[],Snack,,,Himachal Pradesh,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_920527ed,bacon,Bacon,[],Protein/Meat,,,,Non-Veg,150.0,57.333333333333336,86.0,6.0,0.2,6.8,0.0,0.1,330.0,normal,True,Master Food Database,,
food_dbbc6485,bacon and mushroom pancake,Bacon and mushroom pancake,[],,,,,Non-Veg,150.0,105.11333333333333,157.67,6.82,8.47,10.6,1.59,1.23,344.23,normal,True,Master Food Database,,
food_44ad9557,bafauri,Bafauri,[],Snack,,,Chhattisgarh,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_dfa58d73,bagara rice,Bagara Rice,[],Rice Dish,,,Telangana,Veg,250.0,120.0,300.0,8.0,48.0,8.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_18ed023e,bagel,Bagel,[],Grain,,,,Veg,150.0,180.0,270.0,11.0,55.0,1.5,2.0,5.0,430.0,normal,True,Master Food Database,,
food_2660d445,baguette,Baguette,[],Grain,,,,Veg,150.0,46.666666666666664,70.0,2.5,14.0,0.5,0.6,0.5,150.0,normal,True,Master Food Database,,
food_22417bcb,bai,Bai,[],Main Dish,,,Mizoram,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_c658b2f2,baida roti,Baida Roti,[],Snack,,South India,,Non-Veg,100.0,280.0,280.0,14.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_653e7f76,bajra churma,Bajra Churma,[],Sweet,,,Haryana,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_8b4c267d,bajra khichdi,Bajra Khichdi,[],Main Dish,,,Haryana,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_c818defb,bajra roti,Bajra Roti,[],Bread,,,Haryana,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_4b614e39,bajre ki roti,Bajre Ki Roti,[],Bread,,,Rajasthan,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_b5cb6e23,bajri no rotlo,Bajri No Rotlo,[],Bread,,West India,,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_280a0dd9,bajri rotla,Bajri Rotla,[],Bread,,,Gujarat,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_55a3e94a,baked brinjal in tomato sauce,Baked brinjal in tomato sauce,[],,,,,Veg,150.0,25.753333333333334,38.63,1.58,4.13,1.62,2.34,2.2,79.66,normal,True,Master Food Database,,
food_9e50bbde,baked custard,Baked custard,[],,,,,Veg,150.0,71.02000000000001,106.53,5.41,9.45,5.3,0.0,9.42,47.13,normal,True,Master Food Database,,
food_f4ac6067,baked egg,Baked egg ,[],,,,,Eggetarian,150.0,145.89999999999998,218.85,11.88,15.42,12.65,1.03,1.66,523.29,normal,True,Master Food Database,,
food_ceecd35d,baked eggs in tomato sauce,Baked eggs in tomato sauce,[],,,,,Eggetarian,150.0,53.36666666666666,80.05,4.92,3.78,5.22,0.01,2.03,188.21,normal,True,Master Food Database,,
food_50e91859,baked fish with cheese sauce,Baked fish with cheese sauce,[],,,,,Non-Veg,150.0,75.97333333333333,113.96,8.64,4.06,7.02,0.08,3.22,209.48,normal,True,Master Food Database,,
food_6b654252,baked potato,Baked Potato,[],Vegetable,,,,Veg,150.0,106.66666666666667,160.0,4.3,36.0,0.2,3.8,1.0,17.0,normal,True,Master Food Database,,
food_c622dc88,baked potato soup,Baked potato soup,[],,,,,Veg,250.0,58.82000000000001,147.05,5.73,5.85,11.21,0.3,3.44,268.69,normal,True,Master Food Database,,
food_7df0d894,baked potato with skin,Baked potato with skin ,[],,,,,Veg,150.0,90.51333333333335,135.77,3.43,11.11,8.5,1.2,1.66,354.5,normal,True,Master Food Database,,
food_b22bca8a,baked stuffed fish,Baked stuffed fish,[],,,,,Non-Veg,150.0,81.30666666666666,121.96,16.14,2.12,5.43,0.38,0.35,74.36,normal,True,Master Food Database,,
food_0625d3c7,baked vegetables,Baked vegetables,[],,,,,Veg,150.0,59.32666666666666,88.99,3.67,8.44,4.44,2.34,2.56,124.7,normal,True,Master Food Database,,
food_6b7ca1ad,baked vegetables with spinach,Baked vegetables with spinach ,[],,,,,Veg,150.0,51.86000000000001,77.79,3.22,6.93,4.03,2.33,2.09,122.85,normal,True,Master Food Database,,
food_e0c85bcc,baklava,Baklava,[],Dessert,,,,Veg,75.0,373.3333333333333,280.0,3.0,30.0,18.0,2.0,20.0,80.0,normal,True,Master Food Database,,
food_395b4952,bal mithai,Bal Mithai,[],Sweet,,,Uttarakhand,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_496f78b1,balsamic glaze,Balsamic Glaze,[],Condiment,,,,Veg,30.0,88.33333333333333,26.5,0.0,6.0,0.0,0.0,8.0,10.0,normal,True,Master Food Database,,
food_c234b22d,balsamic vinaigrette,Balsamic Vinaigrette,[],Condiment,,,,Veg,30.0,300.0,90.0,0.0,3.0,9.0,0.0,2.5,300.0,normal,True,Master Food Database,,
food_e3047eeb,balushahi,Balushahi,[],Sweet,,,Uttar Pradesh,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_b9ccd019,bamboo shoot curry,Bamboo Shoot Curry,[],Main Dish,,,Jharkhand,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_84fc8dd7,bamboo shoot fry,Bamboo Shoot Fry,[],Vegetable,,,Nagaland,Veg,150.0,80.0,120.0,4.0,14.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_ec355f0f,banana,Banana,[],Fruit,,,,Veg,150.0,70.0,105.0,1.3,27.0,0.4,3.1,14.0,1.0,normal,True,Master Food Database,,
food_397c19cc,banana appam,Banana appam,[],,,,,Veg,150.0,313.2066666666667,469.81,1.17,20.06,42.53,0.67,9.95,20.14,normal,True,Master Food Database,,
food_08919a68,banana cake,Banana cake,['Kele ka cake'],,,,,Veg,150.0,259.67333333333335,389.51,5.77,40.0,23.31,1.14,23.04,117.81,normal,True,Master Food Database,,
food_7fc8384e,banana chips,Banana Chips,['Kele ke chips'],Snack,,,Kerala,Veg,100.0,361.89,472.835,3.185,19.66,42.23,1.825,0.0,0.0,normal,True,Master Food Database,,
food_a9ac3307,banana groundnut paste/puree,Banana groundnut paste/puree,[],,,,,Veg,150.0,142.12666666666667,213.19,4.27,36.15,5.45,1.7,31.67,16.85,normal,True,Master Food Database,,
food_fe71e6bc,banana milkshake,Banana milkshake,['Kele milkshake'],,,,,Veg,250.0,26.124000000000002,65.31,1.84,9.15,2.37,0.26,7.96,13.61,normal,True,Master Food Database,,
food_f80ec029,banana milkshake with ice cream,Banana milkshake with ice cream,['Kele ka milkshake ice cream ke saath'],,,,,Veg,250.0,30.580000000000002,76.45,2.01,11.15,2.77,0.27,9.94,16.63,normal,True,Master Food Database,,
food_3db19e77,banana raita,Banana raita,['Kele ka raita'],,,,,Veg,150.0,59.35333333333334,89.03,4.13,13.51,2.07,1.0,10.11,135.43,normal,True,Master Food Database,,
food_ecc45008,banarasi kachori,Banarasi Kachori,[],Snack,,,Uttar Pradesh,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_667b4729,banarasi paan,Banarasi Paan,[],Snack,,,Uttar Pradesh,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_3848e75e,banarasi tamatar chaat,Banarasi Tamatar Chaat,[],Street Food,,,Uttar Pradesh,Veg,180.0,194.4,350.0,8.0,45.0,15.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_c3b8c25e,barbeque sauce,Barbeque sauce,[],,,,,Veg,150.0,81.28666666666668,121.93,0.96,20.46,4.51,0.69,18.88,504.95,normal,True,Master Food Database,,
food_d4e65c5a,barfi,Barfi,[],Sweet,,West India,,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_ede4117c,basil,Basil,[],Condiment,,,,Veg,30.0,3.3333333333333335,1.0,0.1,0.05,0.0,0.1,0.0,0.0,normal,True,Master Food Database,,
food_a43d329b,basundi,Basundi,[],Sweet,,,Gujarat,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_edc90ded,batata saung,Batata Saung,[],Curry,,West India,,Veg,200.0,115.0,230.0,8.0,18.0,12.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_c57556e1,batata vada,Batata Vada,[],Snack,,,Maharashtra,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_8ab144bd,bathua bhujia,Bathua bhujia,[],,,,,Veg,150.0,60.6,90.9,2.26,3.63,7.29,3.8,1.08,81.99,normal,True,Master Food Database,,
food_4d9d4212,bathua poori,Bathua poori,[],,,,,Veg,150.0,399.19333333333327,598.79,2.35,13.85,59.14,1.87,0.41,49.71,normal,True,Master Food Database,,
food_6e847557,bathua raita,Bathua Raita,[],Side Dish,,,Haryana,Veg,100.0,88.13333333333333,97.2,4.0649999999999995,10.655,3.88,3.0949999999999998,0.0,0.0,normal,True,Master Food Database,,
food_74e784f0,bbq sauce,BBQ Sauce,[],Condiment,,,,Veg,30.0,200.0,60.0,0.5,15.0,0.0,0.5,12.0,350.0,normal,True,Master Food Database,,
food_de8df035,bean sprouts,Bean Sprouts,[],Vegetable,,,,Veg,150.0,5.333333333333334,8.0,0.8,1.5,0.1,0.4,1.0,1.0,normal,True,Master Food Database,,
food_67e30564,beans and macaroni,Beans and macaroni,[],,,,,Veg,150.0,90.72000000000001,136.08,4.58,14.24,7.01,2.05,1.68,182.79,normal,True,Master Food Database,,
food_50b1a98e,beans foogath,Beans foogath,[],,,,,Veg,150.0,70.04,105.06,2.03,3.26,9.22,4.15,1.7,81.22,normal,True,Master Food Database,,
food_0d90ae30,beans with coconut,Beans with coconut,['Nariyal aur sem/phali; Beans thoran'],,,,,Veg,150.0,87.75333333333333,131.63,2.62,4.39,11.39,5.59,2.06,271.65,normal,True,Master Food Database,,
food_d54c906b,bebinca,Bebinca,[],Sweet,,,Goa,Veg,75.0,400.0,300.0,5.0,42.0,12.0,2.0,0.0,0.0,normal,True,Master Food Database,,
food_d4d5f9f2,bedai,Bedai,[],Breakfast,,,Uttar Pradesh,Veg,180.0,122.2,220.0,7.0,32.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_9874b4cf,beef burrito,Beef Burrito,[],Meal/Processed,,,,Non-Veg,150.0,433.3333333333333,650.0,30.0,70.0,28.0,10.0,5.0,1400.0,normal,True,Master Food Database,,
food_26cfc750,beef jerky,Beef Jerky,[],Snack/Processed,,,,Non-Veg,100.0,115.99999999999999,116.0,9.4,3.1,7.2,0.5,2.5,590.0,normal,True,Master Food Database,,
food_638bb505,beef pho,Beef Pho,[],Meal/Soup,,,,Non-Veg,250.0,180.0,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,normal,True,Master Food Database,,
food_af6708aa,beef steak,Beef Steak,[],Protein/Meat,,,,Non-Veg,250.0,108.0,270.0,42.0,0.0,10.0,0.0,0.0,90.0,normal,True,Master Food Database,,
food_2e0807a8,beef stroganoff,Beef Stroganoff,[],Meal/Pasta,,,,Non-Veg,150.0,366.66666666666663,550.0,30.0,40.0,28.0,4.0,6.0,900.0,normal,True,Master Food Database,,
food_3a465f51,beef tacos,Beef Tacos,[],Meal/Meat,,,,Non-Veg,150.0,253.33333333333331,380.0,18.0,28.0,22.0,5.0,3.0,600.0,normal,True,Master Food Database,,
food_97be720c,beef wellington,Beef Wellington,[],Meal/Meat,,,,Non-Veg,150.0,400.0,600.0,30.0,35.0,38.0,4.0,4.0,850.0,normal,True,Master Food Database,,
food_40b7c26d,beer,Beer,[],Beverage,,,,Veg,250.0,41.199999999999996,103.0,0.9,5.8,0.0,0.0,0.3,10.0,normal,True,Master Food Database,,
food_59cc6c61,beetroot and egg salad,Beetroot and egg salad,['Chukandar aur ande ka salad'],,,,,Eggetarian,150.0,56.61333333333334,84.92,3.36,3.4,6.45,0.55,1.97,110.12,normal,True,Master Food Database,,
