state,food_name,subcategory,food_type,serving_size_g,calories_per_100g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,calorie_status,data_note
Chhattisgarh,Chila,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Fara,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Muthia,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Angakar Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Aamat,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Bafauri,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Dehrori,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Dubki Kadhi,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Chausela,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Chana Dal Fara,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Chhattisgarh,Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Goan Prawn Curry,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Fish Recheado,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Xacuti Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Pork Vindaloo,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Sorpotel,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Chicken Cafreal,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Goan Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Prawn Balchao,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Poi,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Ros Omelette,Egg,Non-Veg,100,220.0,220,23,0,15,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Bebinca,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Dodol,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Khatkhate,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Goa,Sol Kadhi,Drink,Veg,250,48.0,120,4,18,4,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Dhokla,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Khaman,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Khandvi,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Fafda,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Jalebi,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Thepla,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Methi Thepla,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Khakhra,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Handvo,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Undhiyu,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Dal Dhokli,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Sev Tameta,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Gujarati Kadhi,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Patra,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Gathiya,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Dabeli,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Kachori,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Mohanthal,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Basundi,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Shrikhand,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Fafda Jalebi,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Khichdi Kadhi,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Bajri Rotla,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Sev Usal,Street Food,Veg,180,194.4,350,8,45,15,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Gujarat Dal,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Dal Pakwan,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Lilva Kachori,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Surti Locho,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Surti Ghari,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Surti Sev Khamani,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Surti Egg Ghotala,Egg,Non-Veg,100,220.0,220,23,0,15,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Mutton Samosa,Snack,Non-Veg,100,280.0,280,14,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Mutton Biryani,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Chicken Biryani,Rice Dish,Non-Veg,250,120.0,300,16,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Chicken Tikka,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Fish Fry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Gujarat,Prawn Curry,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Bajra Khichdi,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Bajra Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Bajra Churma,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Kadhi Pakora,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Bathua Raita,Side Dish,Veg,100,140.0,140,4,16,6,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Hara Dhania Cholia,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Mithe Chawal,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Aloo Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Haryanvi Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Haryanvi Mutton Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Haryana,Egg Curry,Egg,Non-Veg,100,220.0,220,23,0,15,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Dham,Thali,Veg,400,125.0,500,16,65,18,9,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Siddu,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Madra,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Rajma Madra,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Kullu Trout,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Chha Gosht,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Tudkiya Bhath,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Bhey,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Babru,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Patande,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Dhaam Mutton,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Himachal Pradesh,Himachali Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Dhuska,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Rugra,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Thekua,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Arsa Roti,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Chilka Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Malpua,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Pittha,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Sattu Sharbat,Drink,Veg,250,48.0,120,4,18,4,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Bamboo Shoot Curry,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Mutton Jhol,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Chicken Jhol,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Jharkhand,Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Bisi Bele Bath,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Mysore Masala Dosa,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Ragi Mudde,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Neer Dosa,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Akki Roti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Mangalore Buns,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Udupi Sambar,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Kosambari,Salad,Veg,200,50.0,100,4,12,3,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Vangi Bath,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Chitranna,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Mysore Pak,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Dharwad Peda,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Kori Gassi,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Kundapura Chicken,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Mangalorean Fish Curry,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Chicken Sukka,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Karnataka,Prawn Ghee Roast,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Appam,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Puttu,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Idiyappam,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Avial,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Thoran,Vegetable,Veg,150,80.0,120,4,14,5,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Olan,Curry,Veg,200,115.0,230,8,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Pachadi,Side Dish,Veg,100,140.0,140,4,16,6,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Kerala,Kerala Sadya,Thali,Veg,400,125.0,500,16,65,18,9,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
